Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
Abbotsford,49 Lithgow St,3,h,1490000,S,Jellis,01-04-2017,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,59A Turner St,3,h,1220000,S,Marshall,01-04-2017,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,119B Yarra St,3,h,1420000,S,Nelson,01-04-2017,3067,Northern Metropolitan,4019,3,Yarra City Council
Aberfeldie,68 Vida St,3,h,1515000,S,Barry,01-04-2017,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
Airport West,92 Clydesdale Rd,2,h,670000,S,Nelson,01-04-2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,4/32 Earl St,2,t,530000,S,Jellis,01-04-2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,3/74 Hawker St,2,u,540000,S,Barry,01-04-2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,1/26 Highridge Cr,3,h,715000,SP,Nelson,01-04-2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Albanvale,1 Jackson Cct,6,h,,PI,hockingstuart,01-04-2017,3021,Western Metropolitan,1899,14,Brimbank City Council
Albert Park,18 Mills St,3,h,1925000,S,Cayzer,01-04-2017,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albion,3/15 Drummartin St,3,u,515000,S,Douglas,01-04-2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Albion,3A Kororoit St,4,h,717000,S,Bells,01-04-2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Alphington,55 Fulham Rd,2,h,1675000,S,Miles,01-04-2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council
Alphington,41 Toolangi Rd,4,h,2008000,S,Jellis,01-04-2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council
Altona,9 Delmont Av,2,h,860000,SP,Barlow,01-04-2017,3018,Western Metropolitan,5301,11,Hobsons Bay City Council
Altona Meadows,57 Tatman Dr,4,h,,SN,Barry,01-04-2017,3028,Western Metropolitan,7630,15.5,Hobsons Bay City Council
Altona North,14 Seventh Av,3,h,720000,S,Hunter,01-04-2017,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Armadale,2/23 Ashleigh Rd,2,u,836000,S,Jellis,01-04-2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,6A Auburn Gr,2,h,2110000,S,Jellis,01-04-2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,746 High St,3,h,1386000,S,Marshall,01-04-2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,14/25 Kooyong Rd,2,u,580000,VB,hockingstuart,01-04-2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,6/38 Wattletree Rd,1,u,355000,S,hockingstuart,01-04-2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Ascot Vale,8 The Grove,3,h,1123100,S,Ray,01-04-2017,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ashburton,1/48 Karnak Rd,3,u,1270000,S,Fletchers,01-04-2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,1 Pitt St,4,h,,S,Jellis,01-04-2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,61A Victory Bvd,3,t,1610000,S,Jellis,01-04-2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashwood,43 Douglas St,4,h,1435000,S,Ray,01-04-2017,3147,Southern Metropolitan,2894,10.2,Monash City Council
Aspendale,4 Jirrah Ct,4,h,1431000,S,hockingstuart,01-04-2017,3195,South-Eastern Metropolitan,2824,21.5,Kingston City Council
Aspendale Gardens,8 Mangrove Ct,4,h,996000,S,Ray,01-04-2017,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council
Attwood,46 Threadneedle St,4,h,,SN,Barry,01-04-2017,3049,Northern Metropolitan,1130,16.5,Hume City Council
